file_name,Stimulating,Playful,Soothing,Sensory-Calming,Grounding,Focusing,Transitional,Anxiety-Reduction,emotion1,emotion2,emotion3,gpt_description
ants_song_combination_1037.wav,0.3466863,0.39207458,0.31861344,0.4034704,0.4122112,0.34156466,0.4184308,0.25187382,Transitional,Grounding,Sensory-Calming,"This song features a gentle and steady rhythm, creating a soothing and secure atmosphere that supports grounding and sensory regulation. Its calming melodies and subtle transitions can help children with ASD shift focus and settle into a relaxed state, enhancing attention and engagement. Ideal for use in therapeutic settings, the song aids in easing transitions and promoting a sense of stability and calmness."
ants_song_combination_1038.wav,0.46289462,0.45600176,0.34256768,0.4311331,0.4735347,0.35837924,0.5924312,0.3010948,Transitional,Grounding,Stimulating,"This song is an excellent choice for supporting children with ASD during transitions, as it balances elements of grounding and stimulation. Its steady rhythm and soothing melodies provide a sense of stability, while dynamic changes in tempo and instrumentation engage attention and promote sensory regulation. This combination makes it ideal for helping children move between activities with ease, while also enhancing focus and emotional balance."
ants_song_combination_1039.wav,0.40046087,0.3863421,0.31095856,0.3307028,0.42082334,0.32903147,0.50271255,0.28211105,Transitional,Grounding,Stimulating,"This song features a balanced blend of transitional, grounding, and stimulating elements, making it ideal for supporting children with ASD in a music therapy session. Its smooth transitions and steady rhythm provide a sense of stability, while its lively melodies gently engage the listener's attention. This combination can help facilitate sensory regulation, promote focus, and encourage active participation in the therapeutic process."
ants_song_combination_1053.wav,0.307731,0.40250748,0.324726,0.4434747,0.43012685,0.3751305,0.40806115,0.27258873,Sensory-Calming,Grounding,Transitional,"This song offers a soothing and steady rhythm that promotes sensory calming, making it an ideal choice for helping children with ASD transition between activities. Its gentle melodies and consistent tempo provide a grounding effect, supporting emotional regulation and enhancing focus. The song's structure encourages engagement while fostering a sense of stability and comfort, aiding in both attention and sensory regulation."
ants_song_combination_1054.wav,0.40279013,0.4354766,0.307842,0.43455446,0.44236314,0.3441977,0.55516535,0.28310543,Transitional,Grounding,Playful,"This song embodies a transitional quality, gently guiding listeners through shifts in mood and tempo, while maintaining a grounding effect with steady rhythms and soothing melodies. Its playful elements, characterized by light-hearted tunes and whimsical sounds, can capture attention and engage children with ASD in a joyful manner. The combination of these emotional qualities makes it a versatile tool for promoting sensory regulation and enhancing focus during therapy sessions."
ants_song_combination_1055.wav,0.3497434,0.36662954,0.28694043,0.3263155,0.39793238,0.3176478,0.47373778,0.26794302,Transitional,Grounding,Playful,"This song features a gentle and steady rhythm that provides a sense of stability, making it ideal for grounding and calming purposes. Its playful melodies introduce elements of fun and spontaneity, encouraging engagement and attention in children with ASD. The transitional quality of the music supports smooth shifts in focus or activities, aiding in sensory regulation and adaptability during therapy sessions."
ants_song_combination_1085.wav,0.30919537,0.38297582,0.28660372,0.34438795,0.37396824,0.2855001,0.3781856,0.18948542,Playful,Transitional,Grounding,"This song embodies a playful and transitional energy, with grounding elements that create a balanced auditory experience. Its lively rhythm and engaging melodies can capture attention and encourage participation, while the stable harmonic structure provides a sense of security and calm. This combination makes it an excellent tool for promoting sensory regulation and enhancing focus during music therapy sessions with children on the autism spectrum."
ants_song_combination_1086.wav,0.42637077,0.47887245,0.34138557,0.37799254,0.46040875,0.37653488,0.52116954,0.2607769,Transitional,Playful,Grounding,"This song offers a unique blend of transitional, playful, and grounding qualities, making it an excellent tool for music therapy sessions with children with ASD. Its lively yet steady rhythm encourages engagement and sensory regulation, while the playful melodies promote attention and interaction. The grounding elements provide a sense of stability, supporting children in transitioning between activities or emotional states with ease."
ants_song_combination_1087.wav,0.3914439,0.44515303,0.31383362,0.3181911,0.4355837,0.3657296,0.4496585,0.2479394,Transitional,Playful,Grounding,"This song blends transitional, playful, and grounding elements, creating a dynamic yet stable auditory experience. Its lively rhythm and engaging melodies can capture attention and encourage playful interaction, while the grounding harmonies provide a sense of stability and security. Ideal for supporting sensory regulation and enhancing engagement, this piece can facilitate smooth transitions between activities in a music therapy session for children with ASD."
ants_song_combination_1101.wav,0.0845812,0.2857468,0.17223194,0.30434585,0.27950108,0.23669538,0.25503576,0.12297003,Sensory-Calming,Playful,Grounding,"This song features a soothing and gentle melody that promotes a calming atmosphere, making it ideal for sensory regulation and relaxation. Its playful elements, characterized by light, rhythmic patterns and cheerful tones, can engage and capture the attention of children, encouraging interaction and participation. The grounding qualities of the song provide a stable auditory environment, supporting emotional balance and focus, which can be beneficial for children with autism spectrum disorder during therapeutic sessions."
ants_song_combination_1102.wav,0.21505369,0.34698045,0.21337071,0.27992624,0.29045993,0.28197145,0.33024168,0.16142753,Playful,Transitional,Grounding,"This song offers a playful and engaging atmosphere, characterized by lively rhythms and bright melodies that can capture the attention of children with ASD. Its transitional elements provide a sense of movement and change, making it useful for guiding children through different activities or emotional states. The grounding qualities, supported by stable harmonic progressions, can help promote sensory regulation and a sense of calm, making the song an excellent tool for enhancing focus and emotional stability in a therapeutic setting."
ants_song_combination_1103.wav,0.27663118,0.37022316,0.24638078,0.26238072,0.34282005,0.30000585,0.3260731,0.18668917,Playful,Grounding,Transitional,"This song combines playful melodies with grounding rhythms, creating a balanced and engaging musical experience. Its transitional elements gently guide the listener through different sections, promoting focus and maintaining interest. Ideal for music therapy sessions, it can support sensory regulation and enhance attention, making it a valuable tool for calming and engaging children with ASD."
ants_song_combination_1133.wav,0.299193,0.33792058,0.31720397,0.35882998,0.38621706,0.26861864,0.39948338,0.22643897,Transitional,Grounding,Sensory-Calming,"This song features a soothing melody and gentle rhythms, creating a calming and grounding atmosphere ideal for children with autism. Its transitional qualities help ease the listener through changes, making it useful for supporting sensory regulation and promoting a sense of stability. The music’s calming nature can enhance focus and engagement, providing a supportive backdrop for therapeutic activities aimed at reducing anxiety and increasing attention."
ants_song_combination_1134.wav,0.28560227,0.2773853,0.30037606,0.2544583,0.3281054,0.21938774,0.45472646,0.21643859,Transitional,Grounding,Soothing,"This song features a gentle and steady rhythm that supports a sense of grounding, making it ideal for helping children with ASD transition between activities. Its soothing melodies promote relaxation and sensory regulation, while the calming harmonies encourage focused attention and engagement. The song's balanced emotional qualities make it a versatile tool for fostering a calm and supportive therapeutic environment."
ants_song_combination_1135.wav,0.17450911,0.1654964,0.1962445,0.12192239,0.2260913,0.15461493,0.26597732,0.14074016,Transitional,Grounding,Soothing,"This song features a gentle and steady rhythm with calming melodies that create a soothing atmosphere, ideal for helping children transition between activities. Its grounding qualities are enhanced by consistent harmonic patterns, which can aid in sensory regulation and focus. The overall soothing nature of the song supports relaxation and can help reduce anxiety, promoting a calm and attentive state conducive to engagement in a music therapy session."
ants_song_combination_1149.wav,0.0127237495,0.16046083,0.1358118,0.24815124,0.2262522,0.15338495,0.2226134,0.1083699,Sensory-Calming,Grounding,Transitional,"This song features gentle melodies and soothing rhythms that create a calming sensory experience, ideal for helping children with ASD to relax and feel grounded. Its steady tempo and smooth transitions support focus and engagement, making it an effective tool for easing transitions between activities. By promoting sensory regulation, the song can aid in reducing anxiety and enhancing overall emotional stability during therapy sessions."
ants_song_combination_1150.wav,0.03083812,0.060367092,0.09268625,0.054217357,0.07588808,0.036969125,0.19402644,0.065646715,Transitional,Soothing,Grounding,"This song offers a gentle and supportive atmosphere, characterized by its transitional quality that encourages smooth shifts in focus and activity. Its soothing melodies and grounding rhythms create a calming environment, ideal for helping children with ASD achieve sensory regulation and maintain attention. The music's steady flow can aid in reducing anxiety and fostering engagement, making it a valuable tool for therapeutic sessions."
ants_song_combination_1151.wav,0.094781786,0.08710517,0.11092937,0.031818807,0.13194388,0.08696097,0.16007097,0.073360085,Transitional,Grounding,Soothing,"This song features a gentle melody and steady rhythm, creating a sense of transition that can help children with ASD move smoothly between activities. Its grounding qualities, with consistent musical patterns, provide a stable auditory environment that supports focus and attention. The soothing elements of the song further aid in calming and sensory regulation, making it an effective tool for reducing anxiety and promoting relaxation during therapy sessions."
ants_song_combination_1421.wav,0.288608,0.34520498,0.40846062,0.41332078,0.42180014,0.31159627,0.37002382,0.32942188,Grounding,Sensory-Calming,Soothing,"This song features gentle, steady rhythms and soft melodies that create a grounding and soothing atmosphere, making it ideal for calming and sensory regulation in children with ASD. The music's calming qualities help reduce anxiety and increase focus, while its sensory-calming elements can aid in managing overstimulation. This makes it a valuable tool for fostering a sense of safety and attentiveness in therapeutic settings."
ants_song_combination_1422.wav,0.49607483,0.4906442,0.47424582,0.5179586,0.5579878,0.3916066,0.6157329,0.40298742,Transitional,Grounding,Sensory-Calming,"This song offers a soothing and supportive atmosphere, ideal for transitions and grounding activities in a music therapy session. Its calming melodies and gentle rhythms help to ease sensory overload, promoting relaxation and focus. The song's structure can aid in maintaining attention and engagement, making it a valuable tool for sensory regulation and calming strategies for children with autism spectrum disorder."
ants_song_combination_1423.wav,0.47277594,0.45547283,0.49163026,0.5037979,0.56778824,0.39827245,0.5247965,0.45471007,Grounding,Transitional,Sensory-Calming,"This song features a soothing and steady rhythm, creating a grounding effect that can help children with ASD feel more centered and secure. Its gentle transitions and calming melodies are designed to ease sensory overload, promoting relaxation and focus. Ideal for supporting sensory regulation and enhancing attention, this piece can facilitate a smooth transition between activities in a therapeutic setting."
ants_song_combination_1437.wav,0.2579528,0.3675168,0.41812915,0.4368196,0.43986636,0.34281975,0.36508283,0.34873563,Grounding,Sensory-Calming,Soothing,"This song features a gentle and steady rhythm paired with soft, melodic tones that create a grounding and calming atmosphere. Its soothing qualities can help children with autism spectrum disorder feel more centered and relaxed, supporting sensory regulation and reducing anxiety. By promoting a sense of calm and focus, the song can enhance attention and engagement during therapy sessions."
ants_song_combination_1438.wav,0.4628283,0.51249284,0.46501052,0.5430437,0.55214804,0.40488344,0.61105406,0.40156585,Transitional,Grounding,Sensory-Calming,"This song offers a gentle and soothing experience, ideal for supporting transitions and grounding activities in music therapy sessions for children with ASD. Its calming melodies and steady rhythm create a sensory-friendly environment that can help reduce anxiety and enhance focus. The song's structure encourages engagement and can aid in sensory regulation, making it a valuable tool for promoting emotional stability and attention."
ants_song_combination_1439.wav,0.4380775,0.4600247,0.48944086,0.5130237,0.5576762,0.39836267,0.5231263,0.45179772,Grounding,Transitional,Sensory-Calming,"This song is characterized by its grounding qualities, providing a stable and reassuring musical environment that can help children feel secure. With its transitional elements, the song smoothly shifts between sections, gently guiding listeners through changes and promoting adaptability. Its sensory-calming nature, featuring soothing melodies and gentle rhythms, makes it an excellent tool for calming, enhancing attention, and supporting sensory regulation in children with ASD."
ants_song_combination_1469.wav,0.29120153,0.4176967,0.34419706,0.3960996,0.39752975,0.29556507,0.3428535,0.23834512,Playful,Grounding,Sensory-Calming,"This song features a playful and grounding melody that gently supports sensory regulation, making it ideal for music therapy sessions with children on the autism spectrum. Its calming rhythms and soothing harmonies create a sensory-calming environment that can enhance focus and engagement. The song's balanced emotional qualities help foster a sense of stability and relaxation, promoting a positive therapeutic experience."
